10007300,CENTRE D'ENDOSCOPIE DIGESTIVE,Etablissement de soins chirurgicaux,PREVESSIN-MOENS,1,82,Etablissement priv•À_ •À_ but lucratif,0,0,0,0,0,0,0,2,0,2,0,0,non,non,non,non,non,non,non,non,-,non,-,non,-,0,sans objet,non,0,non,0,non,0,non,non,non,0,non,non,non,non,non,non,non,0,non,0,non,0,0,sans objet,non,non,non
10007987,CH PUBLIC HAUTEVILLE-LOMPNES,Centre hospitalier (CH),HAUTEVILLE-LOMPNES,1,82,Etablissement public,9,0,0,9,0,278,0,0,0,0,0,0,non,non,non,non,non,non,non,non,-,non,-,non,-,0,sans objet,non,0,non,0,non,0,non,non,non,0,non,non,non,non,non,non,non,0,non,0,oui,0,0,sans objet,non,non,oui
10008407,CH DU HAUT BUGEY,Centre hospitalier (CH),OYONNAX,1,82,Etablissement public,69,26,21,116,0,30,7,8,0,15,0,0,oui,non,non,non,non,non,non,oui,21.8,non,-,non,-,743,4.2,non,0,oui,57,non,0,non,non,non,0,non,non,non,non,non,non,non,0,non,0,non,181,117,sans objet,oui,non,oui
10780054,CH FLEYRIAT BOURG-EN-BRESSE,Centre hospitalier (CH),BOURG-EN-BRESSE,1,82,Etablissement public,281,98,64,443,0,80,29,15,4,48,0,0,oui,oui,non,non,non,non,non,non,-,oui,18.4,non,-,2040,4.4,non,0,oui,88,non,0,non,non,oui,12,oui,non,non,non,non,oui,oui,4918,oui,6164,non,616,458,12,oui,oui,oui
10780062,CH DR RECAMIER - BELLEY,Centre hospitalier (CH),BELLEY,1,82,Etablissement public,103,37,12,152,0,40,5,0,0,5,0,8,oui,non,non,non,oui,non,non,oui,14.8,non,-,non,-,535,4.1,non,0,oui,41,non,0,non,non,non,0,non,non,non,non,non,non,oui,623,non,0,non,113,60,4,non,non,non
10780096,CH MONTPENSIER TREVOUX,Centre hospitalier (CH),TREVOUX,1,82,Etablissement public,31,0,0,31,0,44,0,0,0,0,0,0,non,non,non,non,non,non,non,non,-,non,-,non,-,0,sans objet,non,0,non,0,non,0,non,non,non,0,non,non,non,non,non,non,non,0,non,0,non,0,0,sans objet,non,non,oui
10780195,CLINIQUE CONVERT - BOURG-EN-BRESSE,Etablissement de soins pluridisciplinaires,BOURG-EN-BRESSE,1,82,Etablissement priv•À_ •À_ but lucratif,32,132,0,164,0,0,11,21,0,32,0,0,non,non,non,non,non,non,non,non,-,non,-,non,-,0,sans objet,non,0,oui,46,non,0,non,non,oui,6,non,non,non,non,non,non,oui,2565,non,0,non,0,0,sans objet,non,non,oui
10780203,CLINIQUE MUTUALISTE AMBERIEU EN BUGEY,Etablissement de soins pluridisciplinaires,AMBERIEU-EN-BUGEY,1,82,Etablissement priv•À_ •À_ but non lucratif,4,56,15,75,0,0,2,5,0,7,0,0,oui,non,non,non,non,non,non,oui,19.5,non,-,non,-,985,4.1,non,0,oui,51,non,0,non,non,non,0,non,non,non,non,non,non,oui,39,non,0,non,0,0,sans objet,non,non,non
20000022,CH DE GUISE,Centre hospitalier (CH),GUISE,2,22,Etablissement public,28,0,0,28,0,42,0,0,0,0,0,0,non,non,non,non,non,non,non,non,-,non,-,non,-,0,1,non,0,non,0,non,0,non,non,non,0,non,non,non,non,non,non,non,0,non,0,non,0,0,sans objet,oui,oui,oui
20000048,CH GERONTOLOGIQUE DE LA FERE DE LA FERE,Centre hospitalier (CH),LA FERE,2,22,Etablissement public,25,0,0,25,0,31,8,0,0,8,0,0,non,non,non,non,non,non,non,non,-,non,-,non,-,0,sans objet,non,0,non,0,non,0,non,non,non,0,non,non,non,non,non,non,non,0,non,0,non,0,0,sans objet,non,non,oui
