10007300,CENTRE D'ENDOSCOPIE DIGESTIVE,Etablissement de soins chirurgicaux,PREVESSIN MOENS,1,82,Etablissement priv_ � but lucratif,0,0,0,0,0,0,0,2,0,2,0,0,non,non,non,non,non,non,non,non,-,non,-,non,-,0,sans objet,non,0,non,0,non,0,non,non,non,0,non,non,non,non,non,non,non,0,non,0,non,0,0,sans objet,non,non,non
10007987,CH PUBLIC HAUTEVILLE-LOMPNES,Centre hospitalier (CH),HAUTEVILLE LOMPNES,1,82,Etablissement public,11,0,0,11,0,276,0,0,0,0,0,0,non,non,non,non,non,non,non,non,-,non,-,non,-,0,sans objet,non,0,non,0,non,0,non,non,non,0,non,non,non,non,non,non,non,0,non,0,oui,0,0,sans objet,non,non,oui
10008407,CH DU HAUT BUGEY,Centre hospitalier (CH),OYONNAX,1,82,Etablissement public,71,28,21,120,0,30,7,8,0,15,0,0,oui,non,non,non,non,non,non,oui,24.6,non,-,non,-,779,4.1,non,0,oui,58,non,0,non,non,non,0,non,non,non,non,non,non,non,0,non,0,oui,176,96,sans objet,non,non,non
10780054,CH FLEYRIAT BOURG-EN-BRESSE,Centre hospitalier (CH),BOURG EN BRESSE,1,82,Etablissement public,281,94,64,439,0,80,29,15,4,48,0,0,oui,oui,non,non,non,non,non,non,-,oui,16.4,non,-,2116,4.4,non,20,oui,62,non,0,non,non,oui,12,oui,non,non,non,non,oui,oui,5378,oui,7443,oui,641,441,11,oui,oui,oui
10780062,CH DR RECAMIER - BELLEY,Centre hospitalier (CH),BELLEY,1,82,Etablissement public,97,37,12,146,0,40,5,0,0,5,0,8,oui,non,non,non,oui,non,non,oui,18.1,non,-,non,-,542,4,non,0,oui,40,non,0,non,non,non,0,non,non,non,non,non,non,oui,456,non,0,oui,109,59,12,non,non,non
10780096,CH MONTPENSIER TREVOUX,Centre hospitalier (CH),TREVOUX,1,82,Etablissement public,31,0,0,31,0,44,0,0,0,0,0,0,non,non,non,non,non,non,non,non,-,non,-,non,-,0,sans objet,non,0,non,0,non,0,non,non,non,0,non,non,non,non,non,non,non,0,non,0,oui,0,0,sans objet,non,non,oui
10780112,CENTRE HOSPITALIER DU PAYS DE GEX,H�pital local,GEX,1,82,Etablissement public,4,0,0,4,0,9,0,0,0,0,0,0,non,non,non,non,non,non,non,non,-,non,-,non,-,0,sans objet,non,0,non,0,non,0,non,non,non,0,non,non,non,non,non,non,non,0,non,0,oui,0,0,sans objet,non,non,non
10780120,HOPITAL LOCAL MEXIMIEUX,H�pital local,MEXIMIEUX,1,82,Etablissement public,9,0,0,9,0,20,0,0,0,0,0,0,non,non,non,non,non,non,non,non,-,non,-,non,-,0,sans objet,non,0,non,0,non,0,non,non,non,0,non,non,non,non,non,non,non,0,non,0,oui,0,0,sans objet,non,non,non
10780138,HOPITAL LOCAL DE PONT-DE-VAUX,H�pital local,PONT DE VAUX,1,82,Etablissement public,15,0,0,15,0,20,0,0,0,0,0,0,non,non,non,non,non,non,non,non,-,non,-,non,-,0,sans objet,non,0,non,0,non,0,non,non,non,0,non,non,non,non,non,non,non,0,non,0,oui,0,0,sans objet,non,non,non
10780146,CENTRE  HOSPITALIER  PONT-DE-VEYLE,H�pital local,PONT DE VEYLE,1,82,Etablissement public,16,0,0,16,0,13,0,0,0,0,0,0,non,non,non,non,non,non,non,non,-,non,-,non,-,0,sans objet,non,0,non,0,non,0,non,non,non,0,non,non,non,non,non,non,non,0,non,0,oui,0,0,sans objet,non,non,non
